BASIN,SUB,BLOCK,AMGO,AMRO,BAEA,BCCH,BEKI,BEWR,BGWA,BHGR,BRCR,BTPI,BUSH,CBCH,CEWA,COME,CONI,CORA,COYE,DEJU,DOWO,EVGR,GBHE,GCKI,GRJA,HAFL,HAWO,HEWA,HOWR,HUVI,MALL,MAMU,MGWA,MOQU,NOFL,OCWA,OSFL,PIWO,PUFI,PYOW,RBNU,RBSA,RECR,RSTO,RTHA,RUGR,RUHU,SCOW,SOSP,SSHA,STJA,SWTH,TRSW,VATH,VGSW,WAVI,WCSP,WEFL,WETA,WIFL,WIWA,WIWR,WODU,WREN,WWPE,VAREA,FAREA,SAREA,DAREA,MVWIDTH,MFWIDTH,MSWIDTH,MVCON,MFCON,CVWIDTH,CFWIDTH,CSWIDTH,CVCON,CFCON,B,CCP,CLS,COP,G,HCP,HCS,HLS,HOP,HSH,HSS,HSW,HW,MCP,MCS,MGF,MLS,MOP,MOS,MSH,NPATCH,MPSIZE,MPSHAPE,MPFRAC,CPSIZE,TEDGE,LFRAC,PRICH,SHANNON,SIMPSON,SHEVEN,SIEVEN,AMPSHAPE,CONEDGE
D,BC,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0,0,1,1,0,5,6,0,0,0,1.255,1.255,0.643,4.26,3.226,3.226,2.507,1.297,1.297,24.59037045,24.59037045,32.27486122,8.240390098,8.240390098,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0.04,0,0,0,3,0.333333333,1.540818349,1.556621784,162.8127759,87,0.969759626,2,0.072937217,0.0768,0.242292189,0.1536,1.174999788,4.35
D,BC,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,4,7,0,0,0,1.176,1.114,0.724,4.215,3.159,3.101,2.624,1.511,1.583,33.25608333,35.13641845,15.05846505,26.52653622,42.16404307,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0.53,0,0,0,3,0.333333333,1.664255393,1.541313127,84.33860326,186,1.134756472,2,0.300247796,0.4982,0.997401589,0.9964,1.544467768,0
D,BC,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,4,0,0,0,0,0,0,6,7,0,0,0,1.462,1.041,0.681,4.196,3.458,3,2.624,1.301,1.656,44.59234605,23.09401077,15.05846505,62.57036667,29.92898471,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0.42,0,0,0,3,0.333333333,1.493804781,1.41600171,72.08328516,241,1.191008521,2,0.295447062,0.4872,0.981453895,0.9744,1.501512474,12.05
D,BC,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,2,0,0,3,7,0,0,0,1.431,1.114,0.663,4.188,3.35,3.097,2.558,1.396,1.479,85.77420194,24.80143365,23.42427896,48.08985946,16.71373788,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,2,0.5,1.327076339,1.388296925,104.6518036,92,0.981893914,2,0.167805614,0.2262,0.557438185,0.4524,1.238018344,0
D,BC,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,0,2,0,0,9,5,0,0,0,1.079,1.041,0.447,4.033,3.097,2.987,2.303,1.276,1.354,49.63869458,19.46971199,0,22.57026261,24.02654377,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,4,0.25,1.295870452,1.445411267,145.0333295,193,1.142778655,2,0.223208546,0.3318,0.74148274,0.6636,1.388521006,0
D,BC,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,2,0,0,4,6,0,0,0,1.176,1.176,0.301,4.004,3.165,3.165,2.117,0.996,0.996,17.14610352,17.14610352,37.15737627,37.24662139,37.24662139,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,2,0.5,1.491122325,1.418297491,107.4802307,102,1.004300086,2,0.159353499,0.2112,0.529360865,0.4224,1.21947715,0
D,BC,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,2,0,0,7,9,0,0,0,1.114,1.114,0.491,3.935,3.101,3.101,2.344,1.288,1.288,16.81507786,16.81507786,28.74797873,42.65525407,42.65525407,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,3,0.333333333,1.197118222,1.455172711,160.2217214,75,0.937530632,2,0.086214075,0.095,0.286396957,0.19,1.151397884,0
D,BC,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,6,0,0,0,1,0,0,3,9,0,0,0,1.041,1.041,0.69,3.909,3.017,3.017,2.603,1.605,1.605,17.08065717,17.08065717,0,18.42906047,18.42906047,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,3,0.333333333,1.602171249,1.465087815,94.02659198,238,1.188288479,2,0.275420282,0.4422,0.914926373,0.8844,1.563462481,0
D,BC,13,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,7,0,0,0,5,0,0,2,10,0,0,0,0.954,0.954,0.519,3.869,2.94,2.935,2.417,1.487,1.496,9.462903475,9.805512125,37.15737627,33.89561544,36.7525664,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,3,0.333333333,1.586278772,1.447023966,100.4589468,366,1.281740543,2,0.257516354,0.4032,0.855450811,0.8064,1.476091673,6.65
D,BC,14,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,4,0,0,1,9,0,0,0,0.903,0.903,0.505,3.764,2.876,2.876,2.303,1.447,1.447,11.33115447,11.33115447,0,12.59017164,12.59017164,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,3,0.333333333,1.820480798,1.491834538,108.3466658,239,1.18919895,2,0.248875457,0.3848,0.826746372,0.7696,1.491683361,0
