Ntows,s,iter
644,5.0,150.0
645,1.0,150.0
646,0.0,150.0
647,0.0,150.0
648,0.0,150.0
649,0.0,150.0
650,0.0,150.0
651,1.0,150.0
652,2.0,150.0
653,1.0,150.0
654,2.0,150.0
655,2.0,150.0
656,1.0,150.0
657,1.0,150.0
658,1.0,150.0
659,0.0,150.0
660,0.0,150.0
661,3.0,150.0
662,1.0,150.0
663,2.0,150.0
664,1.0,150.0
665,0.0,150.0
666,0.0,150.0
667,2.0,150.0
668,2.0,150.0
669,0.0,150.0
670,2.0,150.0
671,1.0,150.0
672,2.0,150.0
673,0.0,150.0
674,0.0,150.0
675,0.0,150.0
676,1.0,150.0
677,1.0,150.0
678,0.0,150.0
679,0.0,150.0
680,3.0,150.0
681,0.0,150.0
682,0.0,150.0
683,1.0,150.0
684,1.0,150.0
685,1.0,150.0
686,1.0,150.0
687,0.0,150.0
688,2.0,150.0
689,1.0,150.0
690,0.0,150.0
691,1.0,150.0
692,1.0,150.0
693,2.0,150.0
694,1.0,150.0
695,0.0,150.0
696,0.0,150.0
697,0.0,150.0
698,1.0,150.0
699,1.0,150.0
700,2.0,150.0
701,2.0,150.0
702,0.0,150.0
703,2.0,150.0
704,1.0,150.0
705,2.0,150.0
706,1.0,150.0
707,0.0,150.0
708,1.0,150.0
709,0.0,150.0
710,1.0,150.0
711,1.0,150.0
712,2.0,150.0
713,2.0,150.0
714,1.0,150.0
715,0.0,150.0
716,2.0,150.0
717,1.0,150.0
718,2.0,150.0
719,0.0,150.0
720,2.0,150.0
721,1.0,150.0
722,0.0,150.0
723,0.0,150.0
724,0.0,150.0
725,1.0,150.0
726,0.0,150.0
727,1.0,150.0
728,0.0,150.0
729,3.0,150.0
730,0.0,150.0
731,2.0,150.0
732,0.0,150.0
733,1.0,150.0
734,1.0,150.0
735,0.0,150.0
736,2.0,150.0
737,2.0,150.0
738,0.0,150.0
739,1.0,150.0
740,2.0,150.0
741,4.0,150.0
742,1.0,150.0
743,0.0,150.0
744,1.0,150.0
745,1.0,150.0
746,2.0,150.0
747,1.0,150.0
748,2.0,150.0
749,1.0,150.0
750,2.0,150.0
751,1.0,150.0
752,1.0,150.0
753,0.0,150.0
754,1.0,150.0
755,1.0,150.0
756,1.0,150.0
757,0.0,150.0
758,2.0,150.0
759,0.0,150.0
760,1.0,150.0
761,2.0,150.0
762,1.0,150.0
763,4.0,150.0
764,1.0,150.0
765,2.0,150.0
766,1.0,150.0
767,2.0,150.0
768,0.0,150.0
769,0.0,150.0
770,0.0,150.0
771,3.0,150.0
772,0.0,150.0
773,1.0,150.0
774,0.0,150.0
775,1.0,150.0
776,1.0,150.0
777,2.0,150.0
778,0.0,150.0
779,3.0,150.0
780,2.0,150.0
781,1.0,150.0
782,1.0,150.0
783,0.0,150.0
784,0.0,150.0
785,2.0,150.0
786,0.0,150.0
787,0.0,150.0
788,0.0,150.0
789,0.0,150.0
790,1.0,150.0
791,0.0,150.0
792,1.0,150.0
793,0.0,150.0
794,0.0,150.0
795,0.0,150.0
796,1.0,150.0
797,0.0,150.0
798,1.0,150.0
799,1.0,150.0
800,0.0,150.0
801,1.0,150.0
802,2.0,150.0
803,2.0,150.0
804,0.0,150.0
805,2.0,150.0
806,0.0,150.0
807,0.0,150.0
808,2.0,150.0
809,1.0,150.0
810,0.0,150.0
811,2.0,150.0
812,0.0,150.0
