ags1,ags2,ags3,ags4,ags5,ags6,ags7,ags8,ags9,ags10,ags11,ags12,ats1,ats2,ats3,ats4,ats5,ats6,ats7,ats8,ats9,ats10,ats11,ats12,ats13,ats14,ats15,ats16,ats17,ats18,ats19,ats20,ats21,ats22,ats23,ats24,ats25,ats26,ats27,ats28,ats29,ats30,ats31,ats32,ats33,ats34,ats35,ats36,ats37,ats38,ats39,ats40,ats41,ats42,ats43,ats44,ats45,ats46,ats47,ats48,ats49,ats50,ats51,ats52,ats53,ats54,ats55,ats56,ats57,ats58,ats59,ats60,ats61,ats62,ats63,ats64,ats65,ats66,ats67,ats68,ats69,ats70,ats71,ats72,ats73,ats74,ats75,ats76,ats77,mps1,mps2,mps3,mps4,mps5,mps6,mps7,mps8,mps9,mps10,mps11,mps12,mps13,mps14,mps15,mps16,mps17,mps18,mps19,mps20,mps21,mps22,mps23,mps24,mps25,mps26,mps27,mps28,mps29,mps30,mps31,mps32,mps33,mps34,mps35,mps36,mps37,mps38,mps39,mps40,mps41,mps42,mps43,mps44,mps45,asiq1,asiq2,asiq3,asiq4,asiq5,asiq6,asiq7,asiq8,asiq9,asiq10,asiq11,asiq12,asiq13,asiq14,asiq15,asiq16,asiq17,asiq18,asiq19,asiq20,asiq21,asiq22,asiq23,asiq24,asiq25,gender,ags_map,ags_mav,ags_pap,ags_pav,asiq_score,ats_fear,ats_frus,ats_sad,ats_disc,ats_actc,ats_attc,ats_inhc,ats_soci,ats_hip,ats_posa,ats_nps,ats_aps,ats_asso,ats_nega,ats_effc,ats_ext,ats_ori,mps_self,mps_oth,mps_spr,ags_mastery
6,6,6,7,7,5,7,6,6,7,6,6,3,7,6,6,5,6,5,6,5,5,1,5,5,6,4,3,2,5,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,3,5,5,5,2,3,6,2,6,5,3,5,3,3,5,3,5,5,6,6,6,3,2,5,4,5,6,5,7,3,4,5,5,5,5,5,5,6,5,3,4,5,5,6,5,5,6,5,5,5,6,5,5,6,4,5,5,6,5,5,5,3,5,5,5,5,5,5,5,1,7,3,4,5,5,4,6,5,5,5,1,1,1,0,1,1,2,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,2,0,1,2,20,17,18,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,78,75,67,37
5,5,6,6,7,6,5,6,6,7,5,5,3,5,6,3,4,6,4,2,3,5,3,5,5,7,6,6,5,5,4,6,6,1,5,5,2,2,6,4,3,4,6,3,2,6,6,2,4,5,5,3,6,3,6,5,4,6,6,3,5,5,1,7,5,2,7,3,2,5,3,4,2,2,6,3,5,5,6,3,5,5,6,3,3,4,4,5,6,2,5,3,2,2,4,2,7,5,6,4,5,2,6,3,5,7,3,6,3,1,4,6,6,4,3,2,3,2,3,2,5,1,6,2,6,6,4,2,6,2,4,6,2,4,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,2,17,16,17,19,11,2.714286,5,4.142857,2.666667,5,4.2,4.428571,5.4,4.285714,5.2,5.2,4.4,4.4,3.615385,4.578947,4.882353,4.666667,73,60,41,33
5,6,2,3,7,6,7,2,4,2,2,7,5,3,6,2,7,6,6,3,5,6,4,6,7,2,6,2,2,7,1,7,5,1,7,6,6,6,6,2,7,1,1,7,5,7,7,6,3,1,7,7,7,2,6,1,6,1,5,3,3,6,1,6,6,7,5,6,4,2,1,7,1,6,6,1,6,6,2,7,5,2,6,6,1,7,2,6,1,2,5,4,4,6,2,2,3,1,3,7,4,6,2,2,4,4,2,4,1,1,1,2,4,5,1,1,1,1,2,6,6,2,1,2,7,7,1,3,7,6,6,5,2,5,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,2,19,19,8,7,6,3.285714,2.5,6.142857,4.166667,4.857143,6.8,5.857143,1.8,2.571429,3,5.6,5.8,6.6,4.076923,5.736842,2.470588,6,50,45,58,38
5,4,7,7,6,5,4,7,7,7,7,4,6,7,7,6,6,2,3,6,7,6,7,2,7,6,6,4,4,4,2,6,3,2,1,6,7,2,6,7,6,3,2,4,3,7,6,7,5,2,5,3,5,3,6,5,4,4,7,3,7,4,6,7,1,6,7,4,5,3,7,2,5,4,7,2,6,5,4,5,7,7,5,3,5,3,6,6,1,5,7,7,5,2,1,4,3,5,6,6,2,7,6,3,7,7,7,7,3,1,7,5,7,5,6,5,3,1,1,7,6,5,1,5,7,7,3,3,7,3,6,6,1,5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,2,15,13,21,21,7,4.571429,2.666667,5.857143,5.5,6,5,4.428571,4.2,2.857143,6.4,4.8,5.6,4.6,4.692308,5.157895,4.294118,5,65,83,65,28
5,4,5,5,6,5,5,4,5,5,3,3,2,2,6,7,7,1,5,5,2,6,3,2,2,3,7,7,5,3,6,6,2,1,5,3,3,2,2,5,2,1,7,2,7,6,7,6,6,6,3,3,6,5,1,7,3,2,3,5,6,2,1,2,1,5,1,2,2,5,1,1,2,7,1,3,2,5,7,3,7,7,5,3,6,3,2,3,5,5,2,1,1,5,1,6,6,1,1,7,3,2,7,4,7,5,6,7,4,1,7,5,6,1,6,6,3,7,1,2,6,1,2,6,7,7,1,3,6,3,7,6,1,7,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,1,0,2,16,12,13,14,9,1.857143,4.833333,3.428571,4.333333,3.285714,4.2,1.714286,4.8,4.571429,6.2,4.4,3.8,4.4,3.538462,2.947368,5.117647,4.2,71,71,47,28
7,7,7,7,7,7,7,7,7,7,7,7,3,7,5,6,6,1,4,7,1,6,3,5,5,7,4,3,6,1,7,4,2,1,3,7,1,3,4,2,1,2,4,7,2,6,3,7,3,6,2,1,2,6,1,2,2,4,6,5,6,2,1,4,4,5,7,2,1,5,2,3,1,1,3,2,6,1,7,6,1,5,2,2,7,2,7,7,1,7,1,4,3,2,7,3,7,1,4,7,7,5,6,7,4,7,7,4,6,2,2,7,4,5,3,6,4,2,1,1,4,1,5,7,6,4,3,2,6,2,7,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,21,21,21,21,1,3.428571,4.5,3.142857,5.5,5.285714,2.6,3.428571,5.6,3,4.2,3.2,1.8,2.8,4.076923,3.894737,4.117647,2.6,93,49,49,42
6,6,7,7,7,7,7,7,7,7,7,6,6,7,5,4,5,5,6,6,5,5,6,5,5,6,6,6,5,5,7,7,5,1,3,6,1,3,6,6,6,2,3,4,4,5,5,6,5,3,5,4,2,2,2,7,2,6,5,2,5,5,1,5,3,3,6,1,5,5,4,3,6,4,3,5,5,6,6,6,5,5,6,3,7,6,6,5,6,5,5,2,2,2,6,4,7,1,3,7,6,6,6,6,6,7,6,5,6,1,3,7,5,7,5,5,6,3,1,1,5,3,1,3,7,1,3,3,7,1,6,5,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,20,19,21,21,3,4.428571,3.833333,3.714286,3.833333,5.571429,5,3.571429,6,5.142857,5.4,5,5.2,4.6,3.961538,4.684211,5.470588,4.933333,88,61,44,39
7,6,5,7,7,6,7,6,7,7,6,7,6,7,6,5,3,3,1,4,2,6,7,1,6,1,7,1,3,6,1,2,5,5,6,6,6,6,7,3,4,1,2,5,6,7,3,7,4,3,6,2,6,6,2,3,7,1,6,6,5,3,6,5,1,6,6,6,6,6,5,1,7,7,3,1,7,6,2,7,5,3,5,6,2,5,6,2,1,6,4,7,3,7,6,2,7,5,4,7,6,3,7,6,5,7,6,6,6,3,2,6,3,7,2,3,7,1,3,3,7,6,4,1,7,7,1,1,7,4,7,5,3,7,5,4,3,1,5,0,3,5,1,2,2,2,1,1,2,5,5,6,1,1,1,4,1,5,1,2,21,19,18,20,67,5.428571,3.833333,5.285714,5.666667,6.142857,3,3.142857,1.8,2.142857,3.6,5.4,5.8,6,5.076923,4.210526,2.470588,5.733333,96,55,66,40
6,6,5,7,6,6,6,6,6,6,5,6,6,3,7,7,6,2,5,4,6,2,5,1,7,5,5,5,5,6,3,5,7,7,5,6,5,3,5,7,2,5,6,7,6,7,5,7,7,3,6,1,7,2,6,7,6,3,3,5,7,2,6,7,3,5,3,5,6,6,5,2,6,6,3,5,6,3,5,6,6,6,6,2,7,6,2,5,7,5,4,2,1,7,6,4,5,2,2,7,6,6,6,6,6,7,7,6,6,1,5,6,6,6,5,5,5,5,1,5,5,7,5,5,6,7,1,5,6,6,6,6,2,6,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,2,18,18,16,19,19,4.857143,4.5,5.714286,5.5,3.571429,3.2,3.857143,4.6,5.857143,6.4,5.6,5.6,6.2,5.153846,3.578947,5.647059,5.8,86,64,74,36
6,4,5,7,7,4,6,6,6,6,4,4,7,2,7,3,6,3,6,6,6,5,2,NA,6,6,5,4,2,5,5,7,2,2,5,5,6,2,4,6,4,3,3,4,5,6,3,5,6,2,6,1,6,2,6,6,6,2,5,3,6,2,6,3,3,3,4,2,5,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,19,12,15,19,NA,NA,2.666667,NA,3.166667,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
4,5,6,7,6,5,5,5,6,6,3,5,6,2,4,7,7,1,0,3,4,7,6,7,6,6,5,3,6,6,6,5,6,5,4,5,6,6,6,4,6,6,6,6,3,0,5,6,6,2,6,3,6,3,3,4,6,3,4,5,5,5,5,6,1,4,2,4,5,5,2,4,6,6,2,0,3,5,4,3,6,6,6,3,5,5,6,6,3,4,6,2,2,7,1,1,6,4,5,7,2,5,2,2,4,3,6,2,2,3,5,2,5,6,3,2,6,2,3,5,4,6,3,6,6,6,3,6,6,5,6,2,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,15,15,15,18,4,5.428571,4.166667,4,4.666667,3.571429,5.2,4,5,3.142857,4.4,5.6,5.6,5.6,4.576923,4.157895,4.058824,5.6,55,50,77,30
5,5,6,7,5,6,5,6,7,7,6,5,3,3,3,7,2,3,2,6,7,5,6,7,4,7,6,6,5,6,3,7,4,3,2,5,3,5,5,5,2,NA,3,3,4,5,3,5,5,2,5,2,5,4,5,6,2,5,3,3,6,2,1,3,3,3,2,1,3,5,3,3,6,1,6,3,5,5,6,6,5,7,6,6,6,6,5,6,5,5,5,6,3,2,5,3,6,2,3,6,6,2,5,2,5,6,3,5,3,1,5,6,5,3,5,2,5,2,1,3,3,3,3,3,6,6,2,2,5,2,3,5,1,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,15,16,19,20,3,4.428571,3.5,4.285714,4.166667,4.428571,2.2,4.857143,5.2,NA,5.4,4.4,4.6,4.4,4.115385,4,NA,4.466667,69,61,40,31
3,5,6,7,4,5,4,7,7,7,6,4,6,7,6,6,6,6,2,6,6,6,3,6,6,6,3,2,5,4,6,7,4,5,2,7,6,3,5,4,6,1,6,6,6,3,5,5,2,3,7,3,4,6,2,1,6,3,6,6,6,2,5,3,2,6,6,2,2,5,7,5,6,6,6,1,3,6,3,2,6,5,4,2,3,2,6,6,5,4,2,2,2,4,2,3,7,2,5,7,3,3,6,1,7,5,6,6,2,1,1,7,7,3,2,5,4,4,1,5,5,6,3,5,7,6,1,3,6,3,1,5,2,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,11,14,19,21,4,5.142857,5.166667,4.714286,6,5,4.4,3.857143,4,2.142857,4.6,4.6,4.8,5.2,5.230769,4.421053,3.411765,4.866667,63,57,57,25
6,6,6,7,7,7,7,7,7,7,7,7,2,7,5,6,5,3,3,6,2,6,6,2,6,4,6,3,4,6,2,5,6,2,2,7,2,6,6,3,6,3,3,5,3,3,6,5,4,2,6,5,2,2,6,1,4,3,5,2,4,6,1,5,2,5,6,2,6,2,5,5,2,6,5,4,3,6,5,3,7,3,4,5,4,6,3,5,2,4,5,4,1,1,5,3,4,2,1,3,3,1,5,5,2,5,4,4,3,2,4,4,3,3,2,2,5,2,1,1,3,1,3,1,6,4,3,2,5,1,5,2,2,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,2,20,20,20,21,7,2.142857,2.666667,3,4.666667,5.857143,5.6,5,3.6,2.714286,3.6,4.8,6.2,5.4,3.076923,5.473684,3.235294,5.466667,65,40,29,40
5,5,5,5,6,6,5,3,3,3,3,3,5,6,2,3,7,5,1,3,3,4,2,7,6,1,6,2,5,1,1,5,7,2,1,7,4,7,6,2,4,1,4,6,5,2,6,1,1,4,7,1,1,2,7,1,5,1,3,4,1,3,5,5,6,7,1,4,1,5,6,4,7,5,3,1,5,1,1,7,1,1,4,2,4,1,6,7,3,1,6,3,1,1,1,1,2,1,1,7,1,2,3,2,3,5,4,2,1,1,1,5,2,2,2,2,2,4,2,4,6,2,2,2,5,2,2,3,6,3,5,3,3,5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,16,14,11,11,4,5.571429,4.5,4,4.166667,3.857143,4.2,5.142857,1,1.714286,1.6,5,2,4.2,4.576923,4.421053,1.470588,3.733333,47,38,39,30
6,5,5,7,7,6,6,5,6,6,5,5,5,6,6,4,5,5,5,6,7,4,4,1,3,6,6,6,2,4,6,7,6,3,4,4,5,5,5,6,3,5,3,3,7,6,4,6,6,3,5,4,4,2,5,7,3,7,5,5,7,3,2,5,5,2,6,2,5,4,2,5,5,5,6,5,2,4,6,5,5,6,5,4,5,4,5,1,4,5,3,7,1,3,5,1,7,1,4,7,5,2,5,4,5,6,7,4,3,2,3,5,5,6,2,5,5,4,2,5,6,4,3,7,7,7,1,4,7,5,6,5,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,19,16,16,18,2,3.714286,3.666667,4.571429,3.166667,5.428571,3.8,4.428571,6.2,5,6.2,5.4,4.2,4.4,3.807692,4.631579,5.705882,4.666667,79,56,63,35
6,7,7,7,7,7,7,6,7,7,7,7,5,6,5,4,6,7,6,6,6,6,7,5,7,7,6,5,6,7,7,7,6,3,4,6,5,6,5,4,5,1,5,3,7,7,5,7,6,3,5,1,5,2,3,7,6,7,6,3,4,5,5,5,3,3,5,4,5,5,3,4,5,6,5,3,7,7,6,4,6,6,7,1,4,5,7,6,7,6,5,5,4,2,5,5,7,3,5,5,7,5,7,7,6,7,3,5,7,1,5,6,5,4,6,5,7,6,1,1,6,5,7,4,7,7,1,1,7,1,4,5,2,6,2,2,2,2,2,0,0,2,2,2,1,1,2,1,2,2,2,2,2,2,0,0,0,1,1,2,20,21,21,20,35,4.857143,4.833333,6,3.666667,5,4.4,4.857143,6.6,4.571429,4.8,6.2,6.4,5.4,4.884615,4.789474,5.235294,6,97,74,45,41
5,4,4,7,5,6,6,7,5,7,5,5,5,2,2,7,3,6,6,7,7,4,6,5,6,6,7,2,1,3,7,6,5,1,6,5,2,6,7,2,3,6,1,5,1,7,6,7,2,2,2,1,2,5,7,6,5,1,2,6,3,3,1,6,6,5,3,2,6,6,1,2,5,5,6,6,6,3,5,5,6,2,5,2,7,3,5,5,2,2,3,6,1,6,1,2,6,2,4,2,1,2,5,1,6,5,5,3,2,1,3,2,3,1,1,2,5,4,1,5,6,3,2,7,6,7,1,2,6,4,5,5,1,3,0,1,1,0,0,0,0,2,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,2,16,15,14,21,10,3.857143,3.666667,5,5,4.285714,3.2,5.428571,4.2,5.571429,2.2,4.2,4.8,3.4,4.384615,4.421053,4.176471,4.133333,55,47,49,31
3,4,6,7,5,3,5,3,6,4,5,3,5,7,6,6,5,4,4,6,1,5,7,1,7,2,6,3,6,6,6,5,3,2,2,6,5,3,6,3,5,6,3,5,6,2,5,4,2,3,5,3,6,2,7,7,6,1,3,5,3,3,1,6,3,5,6,3,5,3,5,3,6,7,6,5,1,2,6,7,3,6,5,3,2,6,5,7,4,6,6,5,1,1,2,2,6,3,5,2,6,3,6,3,2,6,1,3,3,3,4,6,5,2,3,2,5,2,2,1,5,2,3,1,7,7,3,1,6,1,5,3,2,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2,13,10,17,14,7,3.857143,4,3.285714,4.5,5.285714,4.2,5.142857,3.4,4.285714,4.2,5,4.6,6,3.884615,4.947368,4,5.2,75,51,32,23
7,5,6,7,7,6,7,5,6,7,5,5,3,3,6,6,7,7,7,3,6,5,2,1,5,7,6,6,6,6,7,6,5,2,4,6,5,6,3,6,2,6,5,5,6,6,6,5,7,7,6,2,5,2,2,6,6,6,5,5,6,3,5,6,1,3,1,4,5,6,2,3,6,5,5,6,5,5,5,6,6,6,6,2,4,5,5,3,6,7,5,2,1,2,6,1,7,1,2,7,6,1,7,5,2,6,6,3,5,1,1,7,5,5,1,2,6,3,1,3,6,1,6,5,7,6,1,2,7,5,7,2,2,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,21,16,17,19,6,4,6,5.428571,3.833333,3.285714,4,3.142857,6.4,5.571429,6,5.6,5.4,5.4,4.807692,3.421053,5.941176,5.466667,95,34,48,37
6,7,6,6,7,7,7,6,6,6,4,7,1,2,5,2,3,1,2,2,5,6,1,7,7,2,6,2,6,4,7,3,3,1,2,7,2,3,NA,2,2,7,2,5,1,2,NA,6,7,7,2,2,6,2,2,7,1,6,5,5,4,3,1,2,2,1,2,2,2,6,4,1,NA,1,3,5,1,5,7,1,7,2,2,7,3,6,3,3,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,21,16,18,NA,NA,4.5,2.285714,3.333333,NA,NA,2.142857,5.8,4.714286,3,2.8,5,4.4,NA,NA,4.529412,4.066667,NA,NA,NA,41
6,5,4,6,6,5,5,3,6,4,3,5,2,5,4,4,6,7,1,6,4,5,2,5,7,7,6,3,4,5,7,7,4,2,3,4,2,5,7,4,3,1,3,1,2,7,6,4,5,3,NA,1,4,4,7,7,4,7,6,5,6,1,2,4,2,7,5,1,4,7,2,1,5,6,1,1,7,7,7,5,1,6,1,2,6,7,6,1,4,6,6,4,4,5,1,1,7,1,4,7,5,1,4,5,7,7,7,6,6,1,1,6,6,4,1,1,7,1,1,7,7,5,5,1,7,7,1,4,7,3,6,4,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,17,15,13,13,1,3.857143,4.833333,4.571429,3.666667,5.285714,3.4,2.714286,6.6,3.285714,4.6,3.2,4.8,NA,4.230769,3.842105,4.647059,NA,86,54,55,32
6,6,7,7,6,6,6,7,7,7,7,6,6,3,7,4,6,3,4,6,6,3,6,7,5,7,7,5,5,4,7,6,2,1,5,6,5,2,5,4,6,1,3,NA,7,5,5,4,6,2,5,3,4,3,2,3,5,7,4,4,5,5,1,1,1,4,5,4,5,3,4,3,4,5,3,2,5,5,7,7,5,6,4,3,5,5,5,5,7,6,6,7,2,1,6,3,7,2,6,7,6,4,6,6,5,6,5,4,5,2,5,5,5,5,7,5,7,3,3,3,7,3,3,4,5,7,6,5,7,4,7,5,3,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,18,21,21,2,4.428571,3.333333,5.142857,NA,4.714286,5,3.142857,6.8,3.857143,5.4,3.4,4.8,5,NA,4.210526,5.176471,4.4,89,74,58,36
2,4,7,7,2,4,4,6,7,7,7,4,4,7,5,7,4,7,3,5,5,3,3,4,3,5,5,6,5,1,7,3,2,6,3,7,5,5,5,2,1,7,6,5,1,6,3,5,5,7,2,2,7,4,6,1,2,5,3,5,5,3,2,2,1,4,3,1,4,3,6,2,5,4,3,1,5,2,5,7,2,6,6,6,2,2,6,6,7,3,6,1,1,4,3,5,7,5,6,5,6,3,5,3,5,5,5,5,3,2,2,3,4,5,3,3,3,3,3,5,5,3,5,5,7,6,2,3,7,3,5,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,12,21,20,0,4.857143,5.5,3.857143,5.166667,4.857143,2.6,3.714286,5.4,3.428571,4.8,2.8,2.4,4.4,4.807692,3.842105,4.411765,3.2,70,52,60,20
3,3,6,6,5,4,4,4,6,6,6,4,5,6,5,6,6,6,6,6,7,5,6,7,3,4,6,5,4,6,3,5,5,2,6,7,5,6,6,4,5,3,4,6,6,5,6,7,6,5,7,3,5,3,6,5,5,1,6,7,5,4,5,6,2,5,7,4,6,6,2,5,5,5,5,4,5,6,2,3,4,3,5,4,5,5,6,4,5,5,6,5,6,4,3,4,6,4,3,6,5,4,5,2,6,5,4,7,2,3,6,6,6,5,4,6,3,4,3,2,6,3,4,4,6,6,5,2,6,3,6,5,3,5,1,1,1,1,1,1,1,2,1,0,0,1,0,0,1,1,1,3,1,1,1,0,0,1,1,2,12,11,18,16,22,4.714286,5.333333,5.142857,4.833333,5.857143,4.8,4.857143,3.2,4.857143,4.4,5.4,5,5.8,5,5.210526,4.235294,5.4,70,78,56,23
6,6,6,7,6,5,5,7,7,7,7,5,6,7,6,5,5,4,4,3,5,3,6,2,3,3,6,5,5,3,2,5,5,3,3,6,5,3,5,4,3,5,5,5,5,5,5,5,6,2,6,3,5,4,3,7,3,5,2,6,4,2,5,5,5,4,5,5,2,6,5,5,5,5,6,4,4,2,3,6,2,2,3,2,3,5,7,2,4,5,5,5,3,7,5,3,2,2,3,6,6,5,5,5,6,6,6,6,5,3,6,5,5,6,6,5,5,5,3,6,5,6,5,6,7,6,5,6,7,6,7,6,5,5,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,1,2,0,1,0,0,0,2,17,16,20,21,10,4.857143,4.666667,4.571429,4.666667,4.285714,3.6,4.285714,3.8,4.285714,4.2,4.2,2.4,5.4,4.692308,4.105263,4.117647,4,80,74,79,33
5,4,7,7,5,5,5,7,7,7,7,4,5,3,5,6,5,7,2,6,7,5,6,5,2,6,7,5,5,3,3,2,5,3,3,6,2,1,6,3,6,1,7,7,7,6,6,5,6,5,6,3,2,5,7,6,2,3,2,5,5,5,5,5,5,5,2,2,3,5,6,6,7,5,6,5,5,2,5,6,5,6,5,2,3,7,5,3,2,6,1,6,1,2,3,2,5,2,6,5,3,6,6,3,5,7,7,3,5,3,6,5,3,7,5,3,3,3,2,3,7,3,5,5,6,6,1,3,7,6,7,5,2,5,1,1,1,1,0,0,2,3,1,2,2,1,1,1,0,1,1,2,0,0,1,1,2,0,1,2,15,13,21,21,26,5.142857,5.666667,3.714286,5.666667,4,5,4.857143,4.6,3.142857,4.8,5.4,3,5.2,5,4.578947,4.058824,4.533333,78,55,62,28
5,5,5,7,6,6,5,4,7,7,4,5,5,5,2,2,6,5,7,5,3,5,6,3,6,3,5,6,0,5,4,5,6,2,4,5,1,6,5,6,6,4,3,4,2,2,6,5,7,2,6,5,7,3,7,4,2,3,2,3,5,3,1,5,6,3,1,1,3,2,2,3,3,5,6,6,5,6,4,3,5,5,6,3,3,5,5,6,2,6,3,7,3,2,6,6,6,3,4,7,5,5,6,4,6,7,6,6,5,3,6,7,5,5,4,5,5,5,3,2,4,3,4,3,7,7,2,4,6,2,7,5,2,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,16,16,16,18,3,3.142857,2.5,2.714286,3.166667,3.714286,5.2,5.714286,4.2,4.285714,4.8,4.8,5,5.6,2.884615,4.842105,4.411765,5.133333,85,73,57,32
6,4,7,7,4,5,6,7,7,7,7,2,3,7,5,7,1,7,5,3,1,3,5,5,5,7,5,2,5,3,5,2,4,6,5,7,1,4,3,4,5,7,5,7,1,1,5,7,7,2,4,2,6,7,3,7,3,7,2,3,5,3,6,3,2,6,2,2,2,7,3,2,5,1,6,5,1,6,3,6,5,7,3,2,6,5,2,3,7,6,3,4,4,2,6,6,6,4,5,7,6,7,7,7,7,7,7,5,7,2,4,5,5,5,7,6,5,6,3,4,6,6,5,7,5,7,3,6,7,6,7,5,2,5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,16,11,21,21,22,4.714286,4.833333,1.571429,6.166667,3.428571,3.2,3.571429,5.8,6,4.6,2.8,4.2,4.6,4.230769,3.421053,5.529412,3.866667,92,75,75,27
6,5,7,7,6,6,6,7,7,6,6,5,6,7,5,5,5,6,0,6,6,5,6,6,5,5,5,3,6,4,6,6,6,2,5,6,5,3,5,5,6,2,6,6,7,5,5,4,6,5,6,3,2,5,6,5,5,6,3,5,5,3,5,5,3,5,3,3,4,2,3,5,6,3,5,3,5,6,6,6,7,5,6,5,6,5,6,6,5,5,5,2,2,3,4,3,7,3,5,6,6,2,6,5,5,5,6,3,5,3,6,5,5,4,2,2,5,1,3,3,3,1,3,2,7,6,2,3,6,3,5,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,18,16,20,20,2,5.285714,5,5,4.666667,4.857143,4.4,4.857143,5.8,3.714286,4.6,5.8,5.2,4.4,5,4.736842,4.588235,5.133333,77,54,51,34
6,4,6,7,7,7,7,7,7,7,5,7,2,5,5,6,3,6,0,5,6,2,7,7,6,NA,2,3,6,4,5,5,6,2,5,5,5,3,2,4,3,6,2,6,6,4,3,7,6,4,5,2,4,0,3,2,6,5,6,3,3,3,5,4,2,4,1,4,1,6,4,3,2,5,7,4,3,6,5,6,6,3,6,2,7,2,5,0,5,3,5,5,5,5,5,2,4,6,3,6,5,5,3,3,5,6,2,3,2,5,6,3,4,5,2,2,2,5,3,5,3,5,6,2,6,6,2,3,5,3,7,3,5,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20,18,18,21,3,4.142857,4.5,4.714286,4.5,3.285714,2.8,3.571429,NA,4.142857,3.6,4.8,4.6,4.2,4.461538,3.263158,NA,4.533333,63,56,66,38
